Domain,Core Field,Job Role,Aptitude (LRDI),Aptitude (QA),Aptitude (VARC),EQ,Personality,Skills
Operations and Logistics:,Supply Chain Management:,Supply Chain Analyst,11,9,7,7,ISTJ,"Supply Chain Management, Logistics, Data Analysis, Reporting"
Operations and Logistics:,Supply Chain Management:,Supply Chain Analyst,11,9,7,7,ISTJ,"Supply Chain Analysis, Data Interpretation, Reporting"
Operations and Logistics:,Supply Chain Management:,Supply Chain Coordinator,11,9,7,7,ESTP,"Assistance in supply chain activities, order processing, shipment tracking, and vendor communication. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively. 
Communication Skills, Problem-Solving, Teamwork, Leadership, Adaptability, Understanding of business fundamentals, industry trends, and financial principles to drive operational and supply chain excellence."
Operations and Logistics:,Supply Chain Management:,Supply Chain Coordinator,11,9,7,7,ESTP,"Coordination, communication, supply chain knowledge, problem-solving, organizational skills"
Operations and Logistics:,Supply Chain Management:,Supply Chain Coordinator,11,9,7,7,ESTP,"Supply Chain Management, Logistics, Inventory Management, Communication"
Operations and Logistics:,Supply Chain Management:,Supply Chain Coordinator,11,9,7,7,ESTP,"Supply Chain Management, Communication, Problem Solving"
Operations and Logistics:,Supply Chain Management:,Supply Chain Manager,11,9,7,12,ENTJ,"Supply chain optimization, logistics management, inventory management, supplier relationship management, analytical skills, problem-solving skills"
Operations and Logistics:,Supply Chain Management:,Supply Chain Manager,11,9,7,12,ENTJ,"Supply chain optimization, logistics management, inventory control, vendor management, and demand forecasting. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively, Understanding of IT systems, software development lifecycle, ERP systems, and emerging technologies relevant to operations and IT management. 
Communication Skills, Problem-Solving, Teamwork, Leadership"
Operations and Logistics:,Supply Chain Management:,Supply Chain Manager,11,9,7,12,ENTJ,"Supply chain management, logistics, strategic planning, negotiation, analytical skills"
Operations and Logistics:,Supply Chain Management:,Trade Compliance Specialist,11,9,7,11,ISTJ,"Trade regulations, compliance, attention to detail, communication, risk management"
Operations and Logistics:,Supply Chain Management:,Trade Data Analyst,11,9,7,8,INTJ,"Data analysis, trade regulations, statistical knowledge, communication, market research"
Operations and Logistics:,Supply Chain Management:,Trade Data Coordinator,11,9,7,8,ISFP,"Data coordination, communication, attention to detail, organizational skills, trade knowledge"
Operations and Logistics:,Supply Chain Management:,Trade Support Analyst,11,9,7,7,ESTP,"Analytical skills, trade regulations, data analysis, communication, problem-solving"
Operations and Logistics:,Supply Chain Management:,Trade Support Assistant,11,9,7,3,ESFP,"Administrative skills, communication, data entry, attention to detail, organizational skills"
Operations and Logistics:,Supply Chain Management:,Transportation Analyst,11,9,7,7,ISTP,"Transportation Management, Route Optimization, Data Analysis"
Operations and Logistics:,Supply Chain Management:,Transportation Planner,11,9,7,7,INTJ,"Transportation Planning, Data Analysis, GIS, Project Management"
Operations and Logistics:,Supply Chain Management:,Warehouse Supervisor,11,9,7,11,ESTJ,"Supervision of warehouse operations, inventory management, picking and packing, and maintaining safety standards. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively. 
Communication Skills, Problem-Solving, Teamwork, Leadership, Adaptability, Understanding of business fundamentals, industry trends, and financial principles to drive operational and supply chain excellence."
Operations and Logistics:,Supply Chain Management:,Warehouse Supervisor,11,9,7,11,ESTJ,"Warehouse Operations, Team Management, Problem Solving"
Operations and Logistics:,Operations Management:,Documentation Clerk,11,11,7,2,ISTJ,"Attention to detail, organizational skills, data entry, communication, document management"
Operations and Logistics:,Operations Management:,Global Operations Coordinator,11,11,7,11,ESTJ,"Coordination, logistics management, communication, problem-solving, organizational skills"
Operations and Logistics:,Operations Management:,Maintenance Manager,11,11,7,11,ISTJ,"Maintenance planning, technical skills, leadership, problem-solving, communication"
Operations and Logistics:,Operations Management:,Maintenance Planner,11,11,7,7,ESTJ,"Maintenance Planning, Scheduling, Data Analysis, Reporting"
Operations and Logistics:,Operations Management:,Operations Analyst,11,11,7,7,ISTJ,"Process optimization, performance measurement, dashboard development, problem-solving, Excel proficiency"
Operations and Logistics:,Operations Management:,Operations Analyst,11,11,7,7,ISTJ,"Analytical skills, data analysis, problem-solving, process improvement, communication"
Operations and Logistics:,Operations Management:,Operations Analyst,11,11,7,7,ISTJ,"Operations Management, Process Improvement, Data Analysis, Reporting"
Operations and Logistics:,Operations Management:,Operations Analyst,11,11,7,7,ISTJ,"Operations Management, Data Analysis, Reporting, Process Improvement"
Operations and Logistics:,Operations Management:,Operations Assistant,11,11,7,3,ISFJ,"Organizational skills, communication, data entry, problem-solving, time management"
Operations and Logistics:,Operations Management:,Operations Assistant,11,11,7,3,ISFJ,"Organizational skills, communication, data entry, problem-solving, administrative support"
Operations and Logistics:,Operations Management:,Operations Assistant,11,11,7,3,ISFJ,"Process Improvement, Data Analysis, Project Management, Communication"
Operations and Logistics:,Operations Management:,Operations Assistant,11,11,7,3,ISFJ,"Operations Management, Process Improvement, Data Analysis, Communication"
Operations and Logistics:,Operations Management:,Operations Associate,11,11,7,3,ESFJ,"Organizational skills, communication, problem-solving, data analysis, process improvement"
Operations and Logistics:,Operations Management:,Operations Coordinator,11,11,7,7,ENFJ,"Basic project support, data entry, coordination with teams, report generation."
Operations and Logistics:,Operations Management:,Operations Coordinator,11,11,7,7,ENFJ,"Coordination of production schedules, materials planning, and liaison with internal departments and suppliers. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively. 
Communication Skills, Problem-Solving, Teamwork, Leadership, Adaptability, Understanding of business fundamentals, industry trends, and financial principles to drive operational and supply chain excellence."
Operations and Logistics:,Operations Management:,Operations Manager,11,11,7,11,ENTJ,"Process optimization, project management, supply chain management, quality management, problem-solving skills, leadership"
Operations and Logistics:,Operations Management:,Operations Manager,11,11,7,11,ENTJ,"Leadership Skills, Proficiency in managing supply chain processes, including procurement, production planning, inventory management, and distribution. 
Capability to identify inefficiencies, streamline workflows, and implement process improvements to enhance operational efficiency. 
Analytical Skills, Communication Skills, Strategic Thinking, Experience in selecting and managing vendors, negotiating contracts, and ensuring quality and cost-effectiveness of services and Continuous Improvement"
Operations and Logistics:,Operations Management:,Operations Manager,11,11,7,11,ENTJ,"Leadership skills, supply chain management, process optimization, project management, and strategic planning. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively, Understanding of IT systems, software development lifecycle, ERP systems, and emerging technologies relevant to operations and IT management. 
Communication Skills, Problem-Solving, Teamwork, Leadership"
Operations and Logistics:,Operations Management:,Operations Manager,11,11,7,11,ENTJ,"Leadership skills, supply chain management, process optimization, project management, and strategic planning. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively. 
Communication Skills, Problem-Solving, Teamwork, Adaptability, Understanding of business fundamentals, industry trends, and financial principles to drive operational and supply chain excellence."
Operations and Logistics:,Operations Management:,Operations Manager,11,11,7,11,ENTJ,"Streamline operational processes, optimize resource allocation, and align operational strategies with overall business objectives. Analytical Skills, Strategic Thinking, Problem-Solving, Communication Skills, Leadership, Adaptability, Understanding of business fundamentals, industry trends, competitive landscapes, and financial principles to drive strategic outcomes."
Operations and Logistics:,Operations Management:,Operations Manager,11,11,7,11,ENTJ,"Leadership, project management, problem-solving, communication, process improvement"
Operations and Logistics:,Operations Management:,Operations Research Analyst,11,11,7,8,INTJ,"Operations research, data analysis, mathematical modeling, problem-solving, statistical knowledge"
Operations and Logistics:,Operations Management:,Operations Strategy Consultant,11,11,7,12,ENTJ,"Analytical skills, problem-solving, strategic thinking, and ability to develop and implement operational strategies. Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively. 
Communication Skills, Problem-Solving, Teamwork, Leadership, Adaptability, Understanding of business fundamentals, industry trends, and financial principles to drive operational and supply chain excellence."
Operations and Logistics:,Operations Management:,Operations Supervisor,11,11,7,8,ESTJ,"Supervisory skills, communication, problem-solving, process improvement, leadership"
Operations and Logistics:,Operations Management:,Plant Manager,11,11,7,12,ESTJ,"Leadership, operations management, communication, problem-solving, financial management"
Operations and Logistics:,Operations Management:,Process Assistant,11,11,7,3,ISFJ,"Organizational skills, communication, attention to detail, process support, data entry"
Operations and Logistics:,Operations Management:,Process Improvement Analyst,11,11,7,7,ISTJ,"Analytical skills, process improvement, problem-solving, communication, project management"
Operations and Logistics:,Operations Management:,Process Improvement Manager,11,11,7,11,ENTJ,"Process improvement, project management, communication, analytical skills, leadership"
Operations and Logistics:,Operations Management:,Process Improvement Specialist,11,11,7,11,ESTJ,"Process improvement, analytical skills, problem-solving, communication, project management"
Operations and Logistics:,Operations Management:,Process Improvement Specialist,11,11,7,11,ESTJ,"Process Improvement, Lean Six Sigma, Data Analysis, Project Management"
Operations and Logistics:,Operations Management:,Production Assistant,11,11,7,3,ISFJ,"Organizational skills, attention to detail, communication, problem-solving, time management"
Operations and Logistics:,Operations Management:,Production Assistant,11,11,7,3,ISFJ,"Production Management, Scheduling, Budget Management, Communication"
Operations and Logistics:,Operations Management:,Production Manager,11,11,7,11,ESTJ,"Production management, leadership, communication, problem-solving, process improvement"
Operations and Logistics:,Operations Management:,Production Planner,11,11,7,7,ISTJ,"Assist in production scheduling, capacity planning, and coordinating with production teams. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively, Understanding of IT systems, software development lifecycle, ERP systems, and emerging technologies relevant to operations and IT management.
Communication Skills, Problem-Solving, Teamwork, Leadership"
Operations and Logistics:,Operations Management:,Production Planner,11,11,7,7,ISTJ,"Production planning, organizational skills, communication, inventory management, problem-solving"
Operations and Logistics:,Operations Management:,Production Planner,11,11,7,7,ISTJ,"Production Planning, Scheduling, Inventory Management, Communication"
Operations and Logistics:,Operations Management:,Production Worker,11,11,7,3,ISTP,"Technical skills, attention to detail, communication, teamwork, problem-solving"
Operations and Logistics:,Operations Management:,Quality Assurance Analyst,11,11,7,7,ISTJ,"Quality control processes, root cause analysis, corrective and preventive actions, and compliance with quality standards. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively. 
Communication Skills, Problem-Solving, Teamwork, Leadership, Adaptability, Understanding of business fundamentals, industry trends, and financial principles to drive operational and supply chain excellence."
Operations and Logistics:,Operations Management:,Quality Assurance Analyst,11,11,7,7,ISTJ,"Quality Assurance, Data Analysis, Process Improvement, Reporting"
Operations and Logistics:,Operations Management:,Quality Assurance Associate,11,11,7,6,ISFJ,"Quality management, attention to detail, problem-solving, communication, data analysis"
Operations and Logistics:,Operations Management:,Quality Assurance Coordinator,11,11,7,7,ESFJ,"Quality Assurance, Regulatory Compliance, Data Analysis, Process Improvement"
Operations and Logistics:,Operations Management:,Quality Assurance Manager,11,11,7,12,ENTJ,"Quality control, process audits, compliance management, and continuous improvement initiatives. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively, Understanding of IT systems, software development lifecycle, ERP systems, and emerging technologies relevant to operations and IT management. 
Communication Skills, Problem-Solving, Teamwork, Leadership"
Operations and Logistics:,Operations Management:,Quality Assurance Manager,11,11,7,12,ENTJ,"Quality management, attention to detail, problem-solving, communication, process improvement"
Operations and Logistics:,Operations Management:,Quality Control Assistant,11,11,7,3,ISTP,"Quality control, attention to detail, communication, problem-solving, data entry"
Operations and Logistics:,Operations Management:,Quality Control Supervisor,11,11,7,11,ESTP,"Quality control, leadership, attention to detail, problem-solving, communication"
Operations and Logistics:,Operations Management:,Quality Inspector,11,11,7,6,ISFP,"Quality inspection, attention to detail, communication, problem-solving, technical skills"
Operations and Logistics:,Operations Management:,Service Delivery Analyst,11,11,7,7,ISTP,"Service Delivery, Data Analysis, Reporting, Customer Service"
Operations and Logistics:,Operations Management:,Service Manager Assistant,11,11,7,3,ESFJ,"Service Management, Customer Service, Operations Management, Communication"
Operations and Logistics:,Operations Management:,Store Manager,11,11,7,12,ESTJ,"Retail Management, Customer Service, Inventory Management, Sales"
Operations and Logistics:,Project Management (Operations):,Field Coordinator,11,7,11,7,ESFJ,"Field Coordination, Project Management, Communication, Reporting"
Operations and Logistics:,Project Management (Operations):,Field Service Engineer,11,7,11,7,ISTP,"Technical Skills, Customer Service, Troubleshooting, Communication"
Operations and Logistics:,Project Management (Operations):,Industrial Engineer,11,7,11,8,ISTJ,"Process optimization, analytical skills, communication, problem-solving, technical expertise"
Operations and Logistics:,Project Management (Operations):,Industrial Engineer Assistant,11,7,11,3,ISFJ,"Industrial Engineering, Process Improvement, Data Analysis, Project Management"
Operations and Logistics:,Project Management (Operations):,Industrial Operations Associate,11,7,11,3,ESTP,"Operations management, communication, problem-solving, organizational skills, process improvement"
Operations and Logistics:,Project Management (Operations):,Industrial Production Manager,11,7,11,11,ENTJ,"Production management, leadership, communication, process improvement, problem-solving"
Operations and Logistics:,Project Management (Operations):,Industrial Support,11,7,11,2,ISFP,"Technical skills, communication, problem-solving, organizational skills, process support"
Operations and Logistics:,Project Management (Operations):,Manufacturing Analyst,11,7,11,7,ISTP,"Manufacturing Processes, Data Analysis, Quality Assurance, Reporting"
Operations and Logistics:,Project Management (Operations):,Manufacturing Engineer,11,7,11,3,ESTP,"Manufacturing processes, technical expertise, problem-solving, communication, process improvement"
Operations and Logistics:,Project Management (Operations):,Manufacturing Manager,11,7,11,12,ENTJ,"Lean manufacturing principles, production planning, quality management, capacity planning, and continuous improvement methodologies. Analytical Skills, Proficiency in project management methodologies, such as Agile or Waterfall, to plan, execute, and monitor projects effectively. 
Communication Skills, Problem-Solving, Teamwork, Leadership, Adaptability, Understanding of business fundamentals, industry trends, and financial principles to drive operational and supply chain excellence."
Operations and Logistics:,Project Management (Operations):,Manufacturing Manager,11,7,11,12,ENTJ,"Manufacturing management, leadership, communication, process improvement, problem-solving"
Operations and Logistics:,Project Management (Operations):,Manufacturing Technician,11,7,11,2,ISTJ,"Technical skills, attention to detail, communication, problem-solving, teamwork"
Operations and Logistics:,Project Management (Operations):,Monitoring and Evaluation Assistant,11,7,11,3,ISFJ,"Data Analysis, Program Evaluation, Reporting, Communication"
Project/Strategy,Project Management:,Assistant Project Manager,11,9,9,10,ESTJ,"Project management support, communication, organizational skills, problem-solving, data analysis"
Project/Strategy,Project Management:,Junior Project Coordinator,11,9,9,3,ESFJ,"Coordination, communication, organizational skills, project support, problem-solving"
Project/Strategy,Project Management:,PMO Support,11,9,9,7,ISTJ,"Project management support, communication, organizational skills, data analysis, problem-solving"
Project/Strategy,Project Management:,Project Analyst,11,9,9,7,ISTJ,"Data analysis, project management, problem-solving, communication, critical thinking"
Project/Strategy,Project Management:,Project Assistant,11,9,9,3,ISFJ,"Organizational skills, communication, data entry, problem-solving, project support"
Project/Strategy,Project Management:,Project Assistant,11,9,9,3,ISFJ,"Project Management, Scheduling, Reporting, Communication"
Project/Strategy,Project Management:,Project Consultant,11,9,9,8,ENTP,"Project management, analytical skills, problem-solving, communication, client management"
Project/Strategy,Project Management:,Project Manager,11,9,9,11,ENTJ,"Manage strategic projects, coordinate cross-functional teams, and ensure timely implementation of strategic initiatives."
Project/Strategy,Project Management:,Project Manager,11,9,9,11,ENTJ,"Manage strategic projects, coordinate cross-functional teams, and ensure timely implementation of strategic initiatives. Analytical Skills, Problem-Solving, Communication Skills, Leadership, Adaptability, Understanding of business fundamentals, industry trends, competitive landscapes, and financial principles to drive strategic outcomes."
Project/Strategy,Project Management:,Project Manager,11,9,9,11,ENTJ,"Project management, leadership, communication, risk management, budgeting"
Project/Strategy,Project Management:,Project Scheduler,11,9,9,7,ISTJ,"Scheduling, project management, communication, time management, organizational skills"
Project/Strategy,Project Management:,Project Support,11,9,9,3,ISFP,"Project support, communication, organizational skills, problem-solving, administrative skills"
Project/Strategy,Project Management:,Program Assistant,11,9,9,3,ESFJ,"Program Management, Reporting, Communication, Field Work"
Project/Strategy,Project Management:,Program Manager,11,9,9,12,ENTJ,"Program management, strategic planning, leadership, communication, project coordination"
Project/Strategy,Business Development:,Business Development Analyst,7,7,12,7,ENTP,"Market analysis, opportunity identification, business strategy formulation, and client relationship management to drive business growth. Analytical Skills, Communication Skills, Proficiency in research methodologies, data collection, literature review, and report writing to contribute to economic analysis and research projects, Problem-Solving, Proficiency in quantitative methods, statistical analysis, and econometric modeling to analyze economic phenomena and interpret results, Understanding of business principles, industry dynamics, competitive landscapes, and regulatory environments to assess business opportunities and risks, Adaptability and Teamwork"
Project/Strategy,Business Development:,Business Development Associate,7,7,12,7,ENFJ,"Sales, Market Research, Communication, Networking"
Project/Strategy,Business Development:,Business Development Associate,7,7,12,7,ENFJ,"Business Development, Market Research, Sales Strategy, Communication"
Project/Strategy,Business Development:,Business Development Manager,7,7,12,12,ENTJ,"Strategic thinking, market analysis, negotiation skills, communication skills, relationship management, leadership"
Project/Strategy,Business Development:,Business Development Manager,7,7,12,12,ENTJ,"Sales Skills, Market Analysis, Build and maintain strong relationships with clients, understand their needs, and provide tailored solutions, Develop business development strategies aligned with the company's objectives and target market, Presentation Skills , Analytical Skills, Communication Skills, 
Creativity, Familiarity with digital marketing tools, social media platforms, and data analytics. 
Strategic Thinking, Adaptability and Teamwork"
Project/Strategy,Business Development:,Business Development Manager,7,7,12,12,ENTJ,"Strategic planning, market analysis, negotiation skills, and relationship-building abilities to identify and capitalize on business opportunities."
Project/Strategy,Business Development:,Business Development Manager,7,7,12,12,ENTJ,"Strategic planning, market analysis, negotiation skills, and relationship-building abilities to identify and capitalize on business opportunities. Analytical Skills, Problem-Solving, Communication Skills, Leadership, Adaptability, Understanding of business fundamentals, industry trends, competitive landscapes, and financial principles to drive strategic outcomes."
Project/Strategy,Strategic Planning and Analysis:,Business Planner,11,7,11,7,INTJ,"Assist in the development of business plans, financial forecasts, and performance metrics to support strategic goals."
Project/Strategy,Strategic Planning and Analysis:,Business Planner,11,7,11,7,INTJ,"Assist in the development of business plans, financial forecasts, and performance metrics to support strategic goals. Analytical Skills, Strategic Thinking, Problem-Solving, Communication Skills, Leadership, Adaptability, Understanding of business fundamentals, industry trends, competitive landscapes, and financial principles to drive strategic outcomes."
Project/Strategy,Strategic Planning and Analysis:,Competitive Intelligence Manager,11,7,11,12,ENTJ,"Proficiency in conducting market research, gathering competitive intelligence, and analyzing industry trends and competitor strategies. 
Data Collection and Analysis, Strategic Thinking, Presentation Skills, Problem-Solving, Ethical Conduct, Deep understanding of the industry landscape, competitive dynamics, and emerging trends to anticipate market shifts and competitive moves and Continuous Learning"
Project/Strategy,Strategic Planning and Analysis:,Corporate Strategist,11,7,11,12,ENTJ,"Strategic thinking, market research, business analysis, decision-making, leadership"
Project/Strategy,Strategic Planning and Analysis:,Corporate Strategist,11,7,11,12,ENTJ,"Strategic thinking, market analysis, communication, leadership, problem-solving"
Project/Strategy,Strategic Planning and Analysis:,Corporate Strategy Analyst,11,7,11,8,INTJ,"Strategic thinking, problem-solving skills, data analysis, and knowledge of micro and macroeconomic factors influencing business decisions. Analytical Skills, Communication Skills, Proficiency in research methodologies, data collection, literature review, and report writing to contribute to economic analysis and research projects, Proficiency in quantitative methods, statistical analysis, and econometric modeling to analyze economic phenomena and interpret results, Understanding of business principles, industry dynamics, competitive landscapes, and regulatory environments to assess business opportunities and risks, Adaptability and Teamwork"
Project/Strategy,Strategic Planning and Analysis:,Corporate Strategy Manager,11,7,11,8,ENTJ,"Ability to formulate and implement corporate-level strategies, mergers and acquisitions (M&A), strategic alliances, and strategic planning processes."
Project/Strategy,Strategic Planning and Analysis:,Corporate Strategy Manager,11,7,11,8,ENTJ,"Ability to formulate and implement corporate-level strategies, mergers and acquisitions (M&A), strategic alliances, and strategic planning processes. Analytical Skills, Problem-Solving, Communication Skills, Leadership, Adaptability, Understanding of business fundamentals, industry trends, competitive landscapes, and financial principles to drive strategic outcomes."
Project/Strategy,Strategic Planning and Analysis:,Entry-level Strategy Analyst,11,7,11,3,ISTJ,"Conduct research, perform data analysis, and contribute to strategic projects under the guidance of senior strategists or managers."
Project/Strategy,Strategic Planning and Analysis:,Entry-level Strategy Analyst,11,7,11,3,ISTJ,"Conduct research, perform data analysis, and contribute to strategic projects under the guidance of senior strategists or managers. Analytical Skills, Strategic Thinking, Problem-Solving, Communication Skills, Leadership, Adaptability, Understanding of business fundamentals, industry trends, competitive landscapes, and financial principles to drive strategic outcomes."
Project/Strategy,Strategic Planning and Analysis:,Strategic Analyst,11,7,11,8,INTJ,"Analyze industry trends, competitive landscapes, and organizational capabilities to support strategic decision-making."
Project/Strategy,Strategic Planning and Analysis:,Strategic Planning Analyst,11,7,11,8,INTJ,"Analyze internal and external factors affecting the organization's strategic position, conduct scenario planning, and provide recommendations for strategic initiatives. Analytical Skills, Strategic Thinking, Problem-Solving, Communication Skills, Leadership, Adaptability, Understanding of business fundamentals, industry trends, competitive landscapes, and financial principles to drive strategic outcomes."
Project/Strategy,Strategic Planning and Analysis:,Strategic Planning Manager,11,7,11,12,ENTJ,"Expertise in strategic planning methodologies, scenario analysis, SWOT analysis, and project management skills to drive organizational growth and performance."
Project/Strategy,Strategic Planning and Analysis:,Strategic Planner,11,7,11,8,INFJ,"Strategic thinking, market analysis, business forecasting, data analysis, decision-making skills, communication skills"
Project/Strategy,Strategic Planning and Analysis:,Strategic Planner,11,7,11,8,INFJ,"Strategic thinking, analytical skills, communication, problem-solving, project management"
Project/Strategy,Strategic Planning and Analysis:,Strategic Technology Consultant,11,7,11,12,ENTP,"Strategic Thinking, Knowledge of IT governance frameworks, policies, and procedures to ensure alignment with organizational objectives and regulatory requirements.
Proficiency in managing technology projects, including scope definition, resource allocation, risk management, and stakeholder communication.
Analytical Skills, Communication Skills, Expertise in managing organizational change associated with technology implementations, ensuring smooth adoption and realization of benefits."
Project/Strategy,Strategic Planning and Analysis:,Strategy Analyst,11,7,11,8,INTJ,"Strategic Planning, Data Analysis, Market Research, Communication"
Project/Strategy,Strategic Planning and Analysis:,Strategy Consultant,11,7,11,12,ENTJ,"Strong analytical skills, strategic thinking, problem-solving ability, industry knowledge, and communication skills to advise organizations on strategic decisions."
Project/Strategy,Strategic Planning and Analysis:,Strategy Consultant,11,7,11,12,ENTJ,"Strong analytical skills, strategic thinking, problem-solving ability, industry knowledge, and communication skills to advise organizations on strategic decisions. Leadership, Adaptability, Understanding of business fundamentals, industry trends, competitive landscapes, and financial principles to drive strategic outcomes."
Project/Strategy,Strategic Planning and Analysis:,Strategy Coordinator,11,7,11,7,ESFJ,"Support strategic planning activities, compile and analyze data, and assist in the development of strategic initiatives."
Project/Strategy,Strategic Planning and Analysis:,Strategy Coordinator,11,7,11,7,ESFJ,"Support strategic planning activities, compile and analyze data, and assist in the development of strategic initiatives. Analytical Skills, Problem-Solving, Communication Skills, Leadership, Adaptability, Understanding of business fundamentals, industry trends, competitive landscapes, and financial principles to drive strategic outcomes."
Project/Strategy,Design and Research:,Design Researcher,11,7,9,11,INFP,"Design Research, User Research, Data Analysis, Communication"
Project/Strategy,Design and Research:,Design Thinking Facilitator,11,7,9,12,ENFP,"Design Thinking, Workshop Facilitation, Creativity, Communication"
Project/Strategy,Design and Research:,Product Designer,11,7,9,8,INTP,"Product Design, Prototyping, Market Research, Creativity"
Project/Strategy,Management Consulting:,Management Consultant,11,7,9,12,INTJ,"Analytical skills, problem-solving skills, project management, industry knowledge, communication skills, ability to work under pressure"
Project/Strategy,Management Consulting:,Management Consultant,11,7,9,12,INTJ,"Consulting, Data Analysis, Business Analysis, Communication"
Project/Strategy,Infrastructure Development:,Infrastructure Development Assistant,11,9,9,3,ESFP,"Project Management, Data Analysis, Communication, Field Work"
Project/Strategy,Research and Program Management:,Research Analyst,11,7,11,8,INTP,"Research skills, data analysis, critical thinking, communication, attention to detail"
Project/Strategy,Research and Program Management:,Research Analyst,11,7,11,8,INTP,"Market Research, Data Analysis, Reporting, Presentation"
Project/Strategy,Research and Program Management:,Research Analyst,11,7,11,8,INTP,"Research, Data Collection, Analysis, Reporting"
Project/Strategy,Research and Program Management:,Research Assistant,11,7,11,6,ISTJ,"Support in economic research projects, data collection, literature review, and report preparation under the guidance of senior economists. Analytical Skills, Communication Skills, Proficiency in research methodologies, data collection, literature review, and report writing to contribute to economic analysis and research projects, Problem-Solving, Proficiency in quantitative methods, statistical analysis, and econometric modeling to analyze economic phenomena and interpret results, Understanding of business principles, industry dynamics, competitive landscapes, and regulatory environments to assess business opportunities and risks, Adaptability and Teamwork"
Project/Strategy,Research and Program Management:,Research Assistant,11,7,11,6,ISTJ,"Research skills, data collection, analysis, report writing, attention to detail"
Project/Strategy,Research and Program Management:,Research Assistant,11,7,11,6,ISTJ,"Research skills, data collection, data analysis, critical thinking, attention to detail"
Project/Strategy,Research and Program Management:,Research Assistant,11,7,11,6,ISTJ,"Research, Data Collection, Reporting, Analysis"
Project/Strategy,Strategic Marketing:,Strategic Marketing Manager,11,7,9,12,ENFJ,"Develop and implement marketing strategies aligned with the organization's strategic objectives, conduct market segmentation, and positioning analyses to drive brand awareness and customer acquisition. Analytical Skills, Strategic Thinking, Problem-Solving, Communication Skills, Leadership, Adaptability, Understanding of business fundamentals, industry trends, competitive landscapes, and financial principles to drive strategic outcomes."
Healthcare,Clinical Research and Healthcare Services:,Clinical Research Coordinator,11,7,11,7,INFJ,"Clinical Trials, Data Analysis, Regulatory Compliance, Project Management"
Healthcare,Clinical Research and Healthcare Services:,Health Services Coordinator,11,7,11,7,ESFJ,"Healthcare Management, Policy Implementation, Budget Management, Staff Management"
Healthcare,Clinical Research and Healthcare Services:,Patient Services Coordinator,11,7,11,6,ESFJ,"Patient Services, Customer Service, Communication, Healthcare Management"
Healthcare,Health Informatics and IT:,Health Informatics Specialist,11,9,9,8,ISTJ,"Health Information Systems, Data Analysis, IT Management, Regulatory Compliance"
Healthcare,Health Informatics and IT:,Healthcare IT Specialist,11,9,9,8,ISTP,"Health Information Systems, IT Support, Data Analysis, Communication"
Healthcare,Healthcare Administration and Management:,Healthcare Administrator,11,7,9,11,ENTJ,"Healthcare Administration, Policy Implementation, Budget Management, Communication"
Healthcare,Medical Billing and Sales:,Medical Billing Specialist,11,11,7,6,ISTJ,"Medical Billing, Coding, Data Entry, Customer Service"
Healthcare,Public Health Analysis:,Public Health Analyst,11,9,9,7,INFJ,"Public Health, Policy Analysis, Data Analysis, Reporting"
Agriculture / Food,Agri-Business:,Agri-Business Sales Representative,11,7,9,4,ESTP,"Sales and distribution management, client relationship management, market intelligence gathering, and sales forecasting for agricultural inputs and products. Knowledge of Agriculture/Food Industry, Analytical Skills, Communication Skills, Problem-Solving, Teamwork, Understanding of business fundamentals, budgeting, cost analysis, pricing strategies, and profitability assessment in agriculture and food sectors and Adaptability"
Agriculture / Food,Agri-Business:,Agribusiness Consultant,11,7,9,12,ENTP,"Agribusiness Strategy, Market Research, Financial Analysis, Communication"
Agriculture / Food,Agri-Business:,Agribusiness Manager,11,7,9,11,ENTJ,"Leadership skills, agricultural economics, market analysis, supply chain management, and strategic planning in the agribusiness sector. Knowledge of Agriculture/Food Industry, Analytical Skills, Communication Skills, Problem-Solving, Teamwork, Understanding of business fundamentals, budgeting, cost analysis, pricing strategies, and profitability assessment in agriculture and food sectors and Adaptability"
Agriculture / Food,Agri-Finance:,Agri-Finance Analyst,11,11,6,8,ISTJ,"Financial analysis, risk assessment, credit evaluation, and investment appraisal in agricultural finance and rural banking sectors. Knowledge of Agriculture/Food Industry, Analytical Skills, Communication Skills, Problem-Solving, Teamwork, Understanding of business fundamentals, budgeting, cost analysis, pricing strategies, and profitability assessment in agriculture and food sectors and Adaptability"
Agriculture / Food,Agricultural Analysis and Support:,Agricultural Analyst,11,9,7,8,INTP,"Agricultural Economics, Data Analysis, Research, Reporting"
